J,NO ELEMENT,NONE,,,,,NO ELEMENT,NO ELEMENT,,Krypton,Joules,,James Joule,,,Frederic Joliot,James Joule,Francois Jacob,,NONE,Jabbah,NO CONSTELLATION,Juliet,,,,,,,Junior,,,,Joule-Thompson expansion,,,Joule-Thompson expansion,,,,NONE,,,,Jurisprudence,,No Rock,Jade,Jurrasic,Jackfruit,Mount jackson,Johnsongrass,Javan Rhino,,,,None,Joints,,,Juan Fernandez Plate,Jamaica Boa,Jobaria,Jaundice,Japanese spurdog shark,,,J,Jabal al-Tair,Jungle,Jaguar,Janessen,,,,Joshua Tree,Johnson's algorithm,,,Jack oak,Jumper wire,,,Jewel beetles,james river,Lake Jipe,Jasmine,jump (?),"Jacob's ladder
Jet stream",,-,-,Juvenile primary osteoporosis,-,-,,James Webb Telescope,-,-,Jaundice,Joules,(Joules),-,-,Joint Variation,,-,-,Jackdaw ,,,,,,,,,,,,,,,,,-,,,,,,,,Japanese fire-bellied Newt ,,,,,,,,,,,,,Juno,Junction,Jasper
K,Krypton,NONE,,,krypton,Kalyana,Krypton,Krypton,,,Kilometer,,Johannes Kepler,,,Martin Karplus,Henry Way Kendall,Robert Koch,,Koehler Illumination,Kraz,NO CONSTELLATION,Kale,Kale,,Karyotype,,,,Kilo,Kilo,,,Kinetic energy,,Kinetic ,Kinetic energy,,,,Kiwi,,Kymograph,Kangaroo Island Emu,Kalology,Keras,kerzanite,Kaolinite,,Kale,mount kilimanjaro,Kudzu,kakapo,,,Kazakhstania,None,Kidney,Kekulene,,Kerguelen Plateau,Keeled Box Turtle,Khaan,Kawasaki,Kitefin shark,,,K,Mount Katmai,keystone species,Koala,,knot,,,Kings Canyon,Karger's algorithm,Kinoryncha,Kritosaurus,knobcone Pine,Keylock switch,Kilowatt hour,Kyasanur Forest disease,katydids,Kalamazoo Rive,"kamafusa
Kentucky Lake",Kangaroo Paw,kinesology (?),King tide,,-,Kingdom,Klinefelter syndrome,-,-,,Kepler,-,Kimberlite,Knee,Kinetic,Ketone,-,Knapping,Kite ,,"Kill
Kettle Lake",Kingfishers,Kiskadee ,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,,,Krypton,,Kerberos,,,,,Kepler,Kaleidoscope ,Kimmeridge clay
L,Lithium,Lactic Acid,,Lactic acid,laughing gas,Ladder-DES,Lithium,Lithium,Lutetium,,Liter,"Lux
Lumen",Ada Lovelance,Lack of fit error,Inge Lehmann,Benjamin List,Ernest Lawrence,Edward Lewis,,NONE,Lich,Leo,Luna,,Lactase,Locus,limbic system,leptin,Lysosome,Lact,,Lepton,,Latent heat,,,Latent heat,,Lysine,Light wave,Lentils,,Lactometer,Laughing Owl,Leprology,L Loss,Limestone,Lapis,Ludlow,Leek,Mount lincoln,Lionfish,Lungfish,longus colli,lunate bone,Laurasia,Lake ,Large intestines,,,Lwandle Plate,Lizard,Lioceteatops,Lupus,Leopard shark,landslide,Lithium Hydroxide,LLL, mount Llaima,lake ecosystem,Leopard,Langrenus,lamentation,Leprosy,Leptospirosis,Lassen Volcanic,Link prediction,Loricifera,Lamniformes,Lady Legs,Light emitting diode,Load,Lyme's disease,lice,La Crosse River,"loch ness
Last Mountain Lake",Lily,Lateral,Lightning,Percival Lowell,-,-,Lactose intolerence ,-,Lenticular,Lipids,Landsat,Lanthanum,Lamprophyre,Lungs,Light-year,Lability,Length,Lithic / Linear A,Linear equation,,Lagoon,Land birds,Long-tailed Tit,,,"Le Chatelier's principle
Langmuir Equation",,,,,,,Linear,Lur,La Palma,Low-level waste,,,,-,,,,,Lawrence Berkeley,Lead,"Livermorium
Lawrencium",Leopard Tree frog,,,,,,,Livermorium,,Lysine,Least concern,Laser,,Lunar Reconnaissance orbiter ,Laser,Limestone
M,Magnesium,Malic Acid,Methanoic acid,Malic Acid,methane,M-94,Magnesium,Magnesium,Manganese,,Mile,,James Maxwell,Model,John Michell,David MacMillan,Michael Mayor,Craig Mello,,Magnifacation,Nahn,NO CONSTELLATION,Nix,,Maltase,mRNA,,Melatonin,Mitochondria,Megnetism,Milli-,Muon,,Maxwell relations,Maxwell's Equations,Mechanical,"Maxwell relations or
Melting",Multiple proportions,Methionine,Mechanical Waves,Mango,M-94,Magnetometer,Marutious Blue Pigeon,Microbiology,Majority Class,Marble,magnetite,Miocene,Macho fern,Mount mocho,Mexican fruit fly,manatee,mentalis,malleus,Mawson,Mountain,Mouth,Methane,Metaphase,Madagascar Plate,Monitor Lizard,Microraptor,Measels,Mako shark,Mudflow,Manganese Hydroxide,M4,Mount Mageik,marine ecosystem,Manatee,Maginus,mob,Malaria,Meningitis,Mount Ranier,Minimax,Mollusca,Memosites,Madrona,Motor,Multimeter,Monkeypox,mosquitoes,Missisippi,Michigan,Marigold,Midline,Monsoon,,Mercury Hg2,-,Marfan syndrome,Methylprednisolone,Mammatus,Methane,Magion,-,Marundite/ Monzonite,Membrane,Mass,Molecular,Melting point,Mesolithic,Multiplication,,"Marsh
Moat",Migratory,Mourning Dove,,,,Mozambique,Minmi,Maxwell's equation,,Magnesium,MODIS,,,,,,,,-,,,,,,,,Mexican Axolotl ,,,,,,,,,,,,Moa,Magellan,Mirrors,Mudstone
N,Neon,Nitric Acid,Nitric acid,,Nitrogen,Null cipher,Neon,Neon,Nickel,Neon,Newtons,,Issac Newton,Nested factors,,Giulio Natta,Louis Neel,Sir Paul Nurse,,Numeral Apurture,Maia,Mensa,Moon,Metis,,Nucleus,,Nitrate reductase,Nucleus,Nav,Nano-,Nutron,,Nuclear energy,,,Nuclear energy,,,,Nectrine,Null Cipher,Nephetometer,New Zealand Quail,Nuerology,Nan-Trap,Norite,Niccolite,Neogene,Napa Cabbage,Naltar peak,Nile perch,numbat,nasalis,nasal bone,North Australia,None,Nose,Nonane,,North American Plate,Night Snake,Noasaurus,Noroviruses,Nurse shark,,Nickle Hydroxide,Neko,Nevado del Ruiz,nature,Narwhal,,nest,Norovirus,Norovirus,New River George ,Network flow problem,nematoda,Nectridia,North caroline pine,Non-rechargable battery,Neutral conductor,Nipah virus infection,Neuroptera,Nile,Nicaragua lake,Nigella,North,Nor'easter,,Nitrate NO3,-,Noonan syndrome,Nandrolone decanoate,Nimbostratus,Nitrogen,Nahuel 1A,Neodymium,Norite,Neonatal,Newton,Neutral,-,Neolithic,Negative number,,-,Nighthawks,Northern Mockingbird ,,,,,,,,,,,Nadaswaram?,,,,,,-,,,,,,,,Northern Leopard Frog,,,Newton's,Neutron mass,Nihonium,Neon,,Nyx,,,,,New Horizons,Newton's Rings ,Novaculite
O,Oxygen,Oxalic Acid,Oxalic acid,Oleic Acid,Oxygen,One-time pad,Oxygen,Oxygen,Osmium,Oganesson,Ounce,Ohm,Yuri Oganessain,Observation,,Lars Onsager,Douglas Osheroff,Yoshinori Ohsumi,,Occulars,Ogma,Orion,Orthosie,,Oxidoreductase,Oncogene,,Oxytocin,,Oct,,,,Open system,,,Open system,,Ornithine,,Orange,Pig Latin,odometer,,Oceanology,Objective,obsidian,Opal,Ordovician,Okra,Organ mountain,Oxygen weed,Orchids,omohoyid,occipital bone,,Oasis,Ovaries,Octane,,Okhotsk Plate,Ornate Box Turtle,Oviraptor,OHF,Oceanic whitetip Shark,,Osmiun Hydroxide,Oak,Ojos del Salado,ocean ecosystem,Orangutan,,,,,Olympic,,orthonectida,Ornithischia,Oak ,Ohmmeter,Outlet,Ovine chlamydiosis,owl flies,Ottawa River,Ontario,Orchid,Onboard,Overcast,,Oxalate C2O4,Order,Oral-facial digital syndrome,Oxymetholone,Orographic,Ozone,Omid,-,Obsidian,Orthopedic,Ohm,Organic,Odour,Organic,Odd number,,Ocean,Nighthawks,Orchard Oriole ,,,,,,,,,,Octahedral,Obe,Oshima,Oxide fuel,,,,-,,,,Ozone,Oak Ridge,Olgite,Oganesson,Olm,,,,,,Oxygen,,,,,,,OSIRIS-REx ,Ophthalmology ,Oolite
P,Potassium,Phosphoric Acid,Phosphoric acid,Propionic acid,Phosphine,"Pig Latin, polyalphabetic cipher",Potassium,Potassium,Palladium,,Pound,,Louis Pastuer,Placebo,,Vladimir Prelog,Wolfgang Pauli,Stanley Prusiner,,Polarizer,Proxima,Pegasus,Phobos,,Protease,Protein,pons,prolactin,Plasma membrabe ,Pent,Pico-,Proton,,Potential energy,Pascal's law,,Potential energy,Periodic law,Proline,Period,Passion Fruit,Pig Latin,Polygraph,Passanger Pigeon,Palientology,Pandas,peat,pyrite,Paleogene,Palm tree,Mount pavlof,Princess tree,Parrot,plantaris,patella,Pangaea,Plain,Pancreas,Propane,Prophase,Pacific Plate,Python,Patagosaurus,Polio,Port Jackson shark,,Palladium Hydroxide,P,Mount pavlof,parasite,Panda,Picard,parcel,"Polio
Powassan",Pneumonia,Petrified forest,PageRank,Protozoan,Pentaceratops,Pistacio,Printed circuit board,Parallel circuit,Psittacosis,Praying mantis,peral river,Poyang lake,Poppy,Posterior,Prevailing winds,,Permanganate MnO4,Phylum,Parkinson's disease,Progesterone,-,Proteins,Pioneer 6,Promethium,Pumice,Pediatric,Particle,Photosynthetic,Pressure,Paleontology,Polynomial,,Pond,Perching,Plush-crested Jay or Purple finch ,Pressure,Pacemaker,Pauli Exclusion Principle,,,,,,,,,,,Procedure,Polar cell,"Pulsar
Planetary Nebula",-,,,,,,,,Pacific tree frog,,,Pythagorean,Plank's,Polonium,,Plutonium,,Proline,Poaching,Photon,,Parker Solar Probe,Polarization,Phosphorite 
Q,NO ELEMENT,,,,,Q (cipher),NO ELEMENT,NO ELEMENT,,,Quart,,Edith Quimbly,,,NONE,Didier Queloz,Jean Rene Constant Quoy (not nobel),,NONE,NO STAR,NO CONSTELLATION,NO MOONS,,,,,,,Quadr,Quecto-,,,,,,,,,,,Running key Cipher,Quadrant,,Quantum Mechanics,Q-Learning,Quartzite,Quartz,Quaternary,Quinoa,Mount quincy adams,Quackgrass,,quadratus plantae,,,None,,,,,Queen Snake,Qantassaurus,Q fever,Quagga Catshark,,,Q,,quadrat,Quoll,,quiver,Q-fever,,,,,Quetzalcoatlus,Quaking Aspen,Quick connect terminal,,Q fever,Queen Termites,qin river,qilin,Queen's cup,Quest (?),-,,-,-,Questionmark ear syndrome,-,-,,-,-,Quartz-syenite,Quadriceps,Quantum,(Quantum),-,-,Quadratic equation,,-,-,Quail ,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,,,,,,,,,,QuikSCAT,Quantum mechanics ,Quartzite
R,Radium,Rosolic Acid,,,Radon,RSA cipher,Radium,Radium,Rodium,Radon,Raidian,,Ernest Rutherford,Ramdomization,,Irwin Rose,Burton Richter,Charles Rice,,Rack and Pinion,Rigel,Reticulum,Rosalind,,,RNA,reticular formation,relaxin,Ribosome,Radi,Ronna,,,,,,Radiation,,,Reflection,Raddish,Scytale,RADAR,Reunion Shelduck,Radiology,Random Policy,Rhyolite,Ruby,Rhyacian,Radish,Mount rainier,Russion Olive,red panda,risorius,Ribs,Rodinia,River,Rectum,,,Rovuma Plate,Rattlesnake,Rugops,Rabies,Raggedtooth Shark,riverine flooding,Radium Hydroxide,R++,Mount Ranier,river ecosystem,Raccoon,Russell,rag,Rabies,,RedWood ,Reverse-delete algorithm,Roundworms,Rhus,Red wood,Resistor,resistor,Rabies,roaches,rio grande,Reindeer lake,Rose,Right,Rain,,-,-,Rett syndrome,Retandrol,-,,Rontgensatellit (ROSAT),-,Rhyolite,Renal,Radiation,Reactive,Refractive Index,Relative dating,Regression analysis,,River,Raptors,Red-winged Blackbird ,Rheology,Refrigerator,Raoult's law,,,,,,,,,,,Results,Ridge,Red Giant,-,,,,,,,,Red-eyed tree frog,,,Rational Root,Rydberg,Ruthenium,Radon,,,,,,Royal Penguin,Rosetta ,Reflection,Rock salt
S,Sodium,Sulfuric Acid,Sulfuric acid,Rosolic Acid,sewage gas,Substitution cipher,Sodium,Sodium,Scandium,,Second,"Second
Siemens",Erwin Schrodinger,"Selection bias, Sample",Gene Shoemaker,George Smith,Erwin Schrodinger,Oliver Smithies,,Stage Focusers,Siruis,Scorpius,Styx,,Sucrase,Syndrome,somatosensory complex,secretin,Smooth Endoplasmic Rectulum,Saur,,,,Specific heat,,Solar,Specific heat,Second law of thermodynamics,Serine,Sound Wave,Star Fruit,Tap Code,Seismometer,Stephens Island Wren,Sociology,Sampling Bias,Scoria,Satin Spar,Siderian,Sago palm,Mount st. Helens,Sacred Bamboo,seahorse,soleus,sternum,Siberia/South Australia,Swamp,Small intestines,Styrene,,South American Plate,Sea Turtle,Spinasaurus,SARS,Sandtiger shark,strong wind,Silicon Hydroxide,S,Mount St Helens,soil ecology,Skunk,Stadius,sloth,Small pox,Syphillis,Seqouia ,SMA*,Sponge,Serpula,Seqoiua,"Solenoid
Switch",Short circuit,Salmonellosis,"stink bug
",sabine river,Superior,Sunflower,"Superior
South",Snowfall,,Sulfate SO4,Species,Sickle cell disease,Squalene,Stratus,,Sputnik,Samarium,Sevite,Spinal,Semiconductor,Saturated,Stength,Stone age,Subtraction,Sample,Sea,Shore birds,Song sparrow ,,Stethoscope,,South Equatorial,Supersaurus,"Snell's
Stokes""s",,Scandium,SWAS,,Saxophone ?,,,,,,Strange,,,,,Sandia,Sulfur,Seaborgium,Southern Toad,Savanna,Safety goggles,,,,Sulphur,,Styx,,,,,Spritzer space telescope ,Spectroscopy ,Sandstone
T,titanium,Tranexamic Acid,Tellurous Acid,Tartartic Acid,tetrafluoroethene,Tabula Cipher,titanium,titanium,titanium,,Ton,,Joseph John Thomson,Treatment,,Lord (Alexander R.) Todd,Joseph John Thomson,E. Donnall Thomas,,Tube,Tarf,Taurus,Thebe,,Transferase,tRNA,thalumus,thyroid stimulating hormone,,Tele,Tera-,,Thymine,Temperature,Titius-Bode Law,Thermal,Temperature,,Tyrosine,Transverse,Tangerine,,Thermometer,Tasmainian Emu,Taxonomy,Target ,tuff,turquoise,Triassic,Tea,Mount tylor,Tree of heaven,Tiger beetle,triceps,tibia,Tarim,Tundra,Thyroid,Triethylbenzene,Telophase,Tonga Plate,Turtle,Triceratops,Tetanus,Tiger shark,tornado,Thorium Hydroxide,T,Mount Tylor,territory,Tiger,Tyco,tower,Typhus,Tuberculosis.,Theodore roosevelt ,Theta,Tardigrade,Triceratops,Tan Oak,Transistor,Transformer,Toxocariasis,"termites
Tiger beetles",ta river,Tititaca. Tahoe,Tulip,Topside,Tornado,,Thiosulfate S2O3,-,Thalassemia,Testosterone,-,,Television Infra Red Observation Satellites (TIROS),Terbium/ Thulium,Tuffite,Temperature,Temperature,Transparent,Temperature,Trench,Trignometry,T-distribution,Tributory,Thrashers,Tufted Titmouse ,,,,,,,Titanium,,,"Tetrahedral
Trigonal Planar",Trumpet,"Tambora
Talang",Thermal Reactor,Test?,,,Top,Tritium,Taurus,Tamarack,Troposphere,,,,Tiger salamander ,Tundra,Test tube,,,,Tellurium,,,,,,,TESS,Telescope ,Travertine
U,uranium,Uric Acid,Uranic Acid,Uric Acid,,UES (cipher),uranium,uranium,,,Unit,,Harold Urey,,Harold Uray,Harold Urey,Stanislaw Ulam (not nobel),Merton Utter (Not nobel),,NONE,Ukdah,Ursa Major,Umbriel,,,Uracil,,uroguanilyin,,Ultra,,,Uracil,,,,,,,,,,,,Urology,Underfitting,NO ROCK,Ulexite,,Umbrella plant,Mount Ultar,NO SPECIES,Ultramarine Lorikeets,,ulna,Ur,None,Uterus,Undecane,,,Uzzell's Lizard,Utahraptor,Undulant fever,,,Uranyl Hydroxide,Umple,Ubinas,urban ecology,Unau,,,,,,,,Uranoplosus puchnodont,Una de Gato,Up/down converter,,,Urania Moths,ural,Utah lake,Urn Plant,Upward,Unstable,,,-,Usher syndrome,-,-,,Uhuru,-,Ultramafic-rock,Urinary,Ultravoilet,Unstable,-,Underwater ,Unit circle,,,-,Upland sandpiper ,,,,,,,Uranium,,,,,,,,,,Up,Uranium-235,Ursa Major,Utah Juniper,Urban heat island effect,,,,Upland chorus frog,,,,,,,Uranium,,Urea,Umbrella species,Ultraviolet,,Ulysses,Ultraviolet ,Unakite
V,vandadium,Valine,,,vinyl chloride,VIC Cipher,vandadium,vandadium,Vanadium,,Volt,,John Vane,Variable,,Vincent du Vigneaud,John Vlek,John Vane,,NONE,Vega,Vela,Valetudo,,,Virus,,vasoactive intestinal peptide,Vacuoles,Vap,,,,Volume,,,Volume,,Valine,,Vegtable Juice,VIC Cipher,Voltmeter,,Virology,Validation,Volcanic breccia,valentinite,,Vanilla,Mount victoria,Virulent Newcastle disease,viper,vastus medialis,vomer,Vaalbara,Valley,Vagina,Vinyltoluene,,Victoria Microplate,Viper,Velociraptor,Vaginitus,Velvet dogfish,volcanic eruption,Vanadium Hydroxide,Vala,Mount visoke,vegetation,Vole,Vendelinus,,virulent newcastle disease,Vaginosis,Virgin Island,,,Varanops,Valley Oak,voltmeter,Voltage,,Viceroy butterflies,verde river,victoria,Violet,Visual,"Virga
Vortex",,,-,Von Willebrand disease,-,-,,Vanguard,-,Volcanic bomb,Vein,Vaccum,Volatile,Volume,Varves,Variable,Variable ,Vernal pool,Vultures,Varied Thrush ,,,,,,,,,,,,,,,,,-,,,,,,,,Vietnamese mossy frog,,,,,,,,,,,,,Van Allen Probes,Visible light ,Volcanic Breccia
W,NO ELEMENT,,,,Water Vapor,Wadsworth's cipher,NO ELEMENT,NO ELEMENT,,,Watts,,Alfred Wegener,,Alfred Wegener,Gregory Winter,Kenneth G Wilson,J. Robin Warren,,Widefield Occulars,Wazn,NO CONSTELLATION,Weywot,,,,wernicke's area,,,,,,,work,,Wind,work,,,Wavelength,Watermelon,Wahlwort,wavemeter,,Weather Science,Wieght,wehrlite,washingtonite,Wenlock,Wasabi,Mount wilbur,West Nile Virus,water buffalo,,,West Australia,None,,,,Woodland Plate,Whiptail Lizard,None,West Nile virus,Whale shark,wildfire,,WebDNA,,wildlife,Walrus,Wargentin,watch,West nile virus,Whopping cough,White Sands ,Wiener connector,,Watinoceres,Weeping willow,Wire,Watt,West Nile virus,"whiteflies
Wasp",west river,"Lake of the woods, winnipeg lake",Waterlily,West,Whirlpool,,,-,Williams Syndrome,-,-,Water,Wide-field Infrared Survey Explorer,-,Welded Tuff,Womb,Watt,Water-soluble,Weight,Ware,Whole number,,Water falls,Waterfowl,White-throated Sparrow ,,,,,,,,,,,,,,,,,-,,,,,,,,Western Todd,,,,,,,,,,,,,Wide-field infrared survey explorer,Wave theory,Wackestone
X,Xenon,Xenic Acid,Xenic Acid,,Xenon,XTEA,Xenon,Xenon,,Xenon,X-Units,,Basilis C. Xanthopolus,,,Xioaliang Xie (not nobel),Basilis C. Xanthopoulos (Not nobel),John Xantus de Vesey (not nobel),,NONE,Xuage,NO CONSTELLATION,Xiangliu,,,X chromozone,,,,Xanth,,,,,,,,,,,,,,,Xenobiology,,NO ROCK,Xanthite,,NO PLANTS,Mount Xabaub,NO SPECIES,,,Xiphiod Prosses,,None,,,,,Xenosaurus Penai,None,Xanthinuria,,,,x++,,xeric,Xerus,,,,,,,Xenacoelomorpha,Xenacanthida,,-,,,Xylocopid bees,Xi,Xavantes,"Xylosma
Xerophyllum",X-axis,-,,,-,Xeroderma pigmentosum,-,-,,XMM-Newton,-,-,X-ray,X-ray,(X-ray),-,X-ray fluorescence ,X-axis,,,-,Xantus's Hummingbird ,,,,,,,,,,,,,,,,,-,,,,,,,,Xenopus ,,,,,,Xenon,,,,,,,X-ray timing explorer ,X-rays ,Xenolith
Y,Yttrium,,,,,Yamb,Yttrium,Yttrium,Yttrium,,yard,,Chen-Ning Yang,,,Akira Yoshino,Chen-Ning Yang,Michael Young,,NONE,Yed Posterior,NO CONSTELLATION,Ymir,,,Y chromozone,,,,,Yotta-,W Boson,,,,,,,,,,,,,Yoga,,NO ROCK,Yttrialite,,Yarrow,Mount yu shan,Yellow Toadflax,yellow-eyed penguin,,,Yangtze,None,,,,Yangtze Plate,Yellow Gecko,Yinlong,Yellow fever,Yellowspotted Catshark,,Yttrium Hydroxide,Yoix,mount Yucamane,yellow rain,yak,,yoke,Yellow fever,,Yosemite,yens algorithim,,,Yew,Y-cable,,Yellow fever,Yucca moths,Yantze,yellow stone lake,"Yew
Yarrow",Yaw,-,,,-,Y Chromosome infertility,-,-,,Yamal-401,Ytterbium,Yatalite,Yeast infection,Yttrium,(Yield),-,(Year),Y-axis,,,-,Yellow Warbler ,,,,,,,,,,,,,,,,,-,,,,,,,,Yellow-bellied toad,,,,,,,,,,,,,Yohkoh ,Young's double slit experiment ,Yellow sandstone 
Z,Zinc,,,,,Zodiac,Zinc,Zinc,Zinc,,Zettameter,,karl ziegler,,,Karl Ziegler,Pieter Zeeman,Rolf Zinkernagel,,Zoom,Zhang,NO CONSTELLATION,NO MOONS,,,,,,,Zo,Zetta,Z Boson,,zeroth law of thermodynamics,,,zeroth law of thermodynamics,,,,,,,,Zoology,Z-score naturalization,NO ROCK,Zultanite,,Zebra plant,Zugspitze,Zika Virus,zebra pleco,zygomaticus major,zygomatic bone,,None,,,,,Zebra Snake,Zalmoxes,Zika virus,Zebra shark,,Zinc Hydroxide,Zeno,,zooplankton,Zebra,,zeal,Zika virus,,Zion ,Zero-weight cycle problem,,,,Zener diode,,Zoonotic diphtheria,zoraptera,zealand,zaysan,"Zinnia
Zenobia",Zenith,"Zud
Zyphyr",,,-,Zellweger spectrum disorder,Zilretta (brand name),-,,-,-,-,Zoonotic,Zinc,(Zinc),-,Zone,"Zero Matrix
Zero Slope",,,-,Zebra Finch,,,,,,,,,,,,,,,,,-,,,,,,,,Zigzag salamander,,,,,,,,,,,,,Zond 3,Zeenath’s effect ,Zeolite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,A,Frances Arnold,,,,,,,A,Arche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,B,Hebert C. Brown,,,,,,,B,Bestla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,C,Marie Curie,,,,,,,C,Callisto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,D,Jennifer Doudna,,,,,,,D,Demos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,E,Gerhard Ertl,,,,,,,E,Elara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,F,Paul J. Flory,,,,,,,F,Fornjot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,G,Walter Gilbert,,,,,,,G,Ganymede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,H,Stefan Hell,,,,,,,H,Himalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,I,Christopher Ingold (Not nobel),,,,,,,I,Io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,J,Frederic Joliot,,,,,,,J,Juliet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,K,Martin Karplus,,,,,,,K,Kale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,L,Benjamin List,,,,,,,L,Luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,M,David MacMilan,,,,,,,M,Nix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ascorbic,,,,,,,,,,,N,Giulio Natta,,,,,,,N,Moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,boric,,,,,,,,,,,O,Lars Onsager,,,,,,,O,Orthosie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
